name,coordinates.x,coordinates.y,realHero,hasToothpick,car.name,mood,impactSpeed,minutesOfWaiting,weaponType
BulkUser_501,1,-900.0,true,false,BulkCar_1,RAGE,251.0,1.0,HAMMER
BulkUser_502,2,-899.5,false,true,BulkCar_2,CALM,157.0,22.0,RIFLE
BulkUser_503,3,-899.0,true,false,BulkCar_3,SADNESS,252.0,1.0,MACHINE_GUN
BulkUser_504,4,-898.5,false,false,BulkCar_4,RAGE,159.0,24.0,BAT
BulkUser_505,5,-898.0,true,true,BulkCar_5,CALM,253.0,1.0,HAMMER
BulkUser_506,6,-897.5,false,false,BulkCar_6,SADNESS,161.0,26.0,RIFLE
BulkUser_507,7,-897.0,true,false,BulkCar_7,RAGE,254.0,1.0,MACHINE_GUN
BulkUser_508,8,-896.5,false,true,BulkCar_8,CALM,163.0,28.0,BAT
BulkUser_509,9,-896.0,true,false,BulkCar_9,SADNESS,255.0,1.0,HAMMER
BulkUser_510,10,-895.5,false,false,BulkCar_10,RAGE,165.0,30.0,RIFLE
BulkUser_511,11,-895.0,true,true,BulkCar_11,CALM,256.0,1.0,MACHINE_GUN
BulkUser_512,12,-894.5,false,false,BulkCar_12,SADNESS,167.0,32.0,BAT
BulkUser_513,13,-894.0,true,false,BulkCar_13,RAGE,257.0,1.0,HAMMER
BulkUser_514,14,-893.5,false,true,BulkCar_14,CALM,169.0,34.0,RIFLE
BulkUser_515,15,-893.0,true,false,BulkCar_15,SADNESS,258.0,1.0,MACHINE_GUN
BulkUser_516,16,-892.5,false,false,BulkCar_16,RAGE,171.0,36.0,BAT
BulkUser_517,17,-892.0,true,true,BulkCar_17,CALM,259.0,1.0,HAMMER
BulkUser_518,18,-891.5,false,false,BulkCar_18,SADNESS,173.0,38.0,RIFLE
BulkUser_519,19,-891.0,true,false,BulkCar_19,RAGE,260.0,1.0,MACHINE_GUN
BulkUser_520,20,-890.5,false,true,BulkCar_20,CALM,175.0,40.0,BAT
BulkUser_521,21,-890.0,true,false,BulkCar_1,SADNESS,261.0,1.0,HAMMER
BulkUser_522,22,-889.5,false,false,BulkCar_2,RAGE,177.0,42.0,RIFLE
BulkUser_523,23,-889.0,true,true,BulkCar_3,CALM,262.0,1.0,MACHINE_GUN
BulkUser_524,24,-888.5,false,false,BulkCar_4,SADNESS,179.0,44.0,BAT
BulkUser_525,25,-888.0,true,false,BulkCar_5,RAGE,263.0,1.0,HAMMER
BulkUser_526,26,-887.5,false,true,BulkCar_6,CALM,181.0,46.0,RIFLE
BulkUser_527,27,-887.0,true,false,BulkCar_7,SADNESS,264.0,1.0,MACHINE_GUN
BulkUser_528,28,-886.5,false,false,BulkCar_8,RAGE,183.0,48.0,BAT
BulkUser_529,29,-886.0,true,true,BulkCar_9,CALM,265.0,1.0,HAMMER
BulkUser_530,30,-885.5,false,false,BulkCar_10,SADNESS,185.0,50.0,RIFLE
BulkUser_531,31,-885.0,true,false,BulkCar_11,RAGE,266.0,1.0,MACHINE_GUN
BulkUser_532,32,-884.5,false,true,BulkCar_12,CALM,187.0,52.0,BAT
BulkUser_533,33,-884.0,true,false,BulkCar_13,SADNESS,267.0,1.0,HAMMER
BulkUser_534,34,-883.5,false,false,BulkCar_14,RAGE,189.0,54.0,RIFLE
